full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude,planning_area,subzone
1 BEACH RD,5190.35294117647,5388.655016636695,public,1.29509740789339,103.85406834457,DOWNTOWN CORE,CITY HALL
1 BEDOK STH AVE 1,5254.237288135593,5331.646425329555,public,1.32085208990817,103.933721096337,BEDOK,BEDOK SOUTH
1 CHAI CHEE RD,4165.413533834586,4282.89974854391,public,1.32796879176302,103.922716018139,BEDOK,KEMBANGAN
1 CHANGI VILLAGE RD,4545.454545454545,4516.839503779803,public,1.3886100383707,103.988093482829,CHANGI,CHANGI POINT
1 DELTA AVE,7310.924369747899,7280.616905585764,public,1.2920752508431,103.828584077626,BUKIT MERAH,BUKIT HO SWEE
1 DOVER RD,5384.615384615385,5347.362135581314,public,1.30252574694853,103.783273166817,QUEENSTOWN,DOVER
1 EVERTON PK,6195.652173913043,6408.464654136172,public,1.27742654288695,103.840001188095,BUKIT MERAH,EVERTON PARK
1 GHIM MOH RD,5305.969230769231,5213.586651944546,public,1.31287975684307,103.786855017635,QUEENSTOWN,GHIM MOH
1 HAIG RD,5913.35593220339,5825.948774366555,public,1.31129091782202,103.897703436187,GEYLANG,GEYLANG EAST
1 HOUGANG AVE 3,4542.857142857143,4561.544636522326,public,1.36413097349222,103.89300132385,HOUGANG,KANGKAR
1 JLN BT MERAH,5453.125,5327.6375,public,1.28647148628638,103.808275089948,BUKIT MERAH,ALEXANDRA HILL
1 KG KAYU RD,5483.870967741936,5810.930390492361,public,1.30355769675629,103.883796413118,KALLANG,TANJONG RHU
1 LOR 7 TOA PAYOH,3955.223880597015,4081.192279073839,public,1.33943033543358,103.853442790992,TOA PAYOH,LORONG 8 TOA PAYOH
1 LOR LEW LIAN,5146.618150684932,5245.132655116841,public,1.35086712646948,103.875343939672,SERANGOON,UPPER PAYA LEBAR
1 MARINE TER,6833.333333333333,6886.261316464992,public,1.30482902187779,103.918614976369,MARINE PARADE,MARINE PARADE
1 MARSILING DR,3538.4615384615386,3774.346373626373,public,1.44067942258288,103.776119757434,WOODLANDS,WOODLANDS WEST
1 PINE CL,7675.837320574163,7571.1579196138255,public,1.30787056219408,103.883192164927,GEYLANG,ALJUNIED
1 QUEEN'S RD,7415.650406504065,7455.787262872629,public,1.31726629524359,103.806782877524,BUKIT TIMAH,FARRER COURT
1 ST. GEORGE'S RD,4890.243902439024,5064.156945917285,public,1.32340263694069,103.86163080083,KALLANG,BENDEMEER
1 TECK WHYE AVE,3834.95145631068,4096.236710023367,public,1.38253882861956,103.751710905678,CHOA CHU KANG,TECK WHYE
1 TELOK BLANGAH CRES,4950.0,4975.107944307944,public,1.27945660077329,103.817897561986,BUKIT MERAH,TELOK BLANGAH WAY
1 TG PAGAR PLAZA,7762.71186440678,7770.716853767702,public,1.27557006195331,103.842683445252,OUTRAM,CHINATOWN
1 TOH YI DR,6803.278688524591,6786.575055776507,public,1.33957175314186,103.774678246393,BUKIT TIMAH,ANAK BUKIT
10 CHAI CHEE RD,5555.555555555556,5656.238129744651,public,1.32727572366021,103.924803599281,BEDOK,KEMBANGAN
10 EUNOS CRES,5516.483516483517,5417.701549382295,public,1.32228655863065,103.902720513959,GEYLANG,GEYLANG EAST
10 GLOUCESTER RD,5970.149253731343,6026.6222991323575,public,1.31369315585356,103.840387458086,NOVENA,MOULMEIN
10 HAIG RD,5135.384615384615,5227.251225229064,public,1.31483950176268,103.895865169739,GEYLANG,GEYLANG EAST
10 HOLLAND AVE,6250.0,6172.727272727273,public,1.30814997104791,103.794275184926,QUEENSTOWN,HOLLAND DRIVE
10 JLN BATU,5954.198473282443,5972.0240501156295,public,1.30201289804622,103.882922881502,KALLANG,TANJONG RHU
10 JLN BT HO SWEE,7058.823529411765,6752.100840336135,public,1.28745837020188,103.832675765986,BUKIT MERAH,BUKIT HO SWEE
10 JLN KUKOH,5278.752436647173,4972.492968299194,public,1.2869738344398,103.839075823483,OUTRAM,PEARL'S HILL
10 JLN RUMAH TINGGI,5410.211267605634,5414.929800639865,public,1.28820018880462,103.808369387433,BUKIT MERAH,ALEXANDRA HILL
10 JOO SENG RD,5000.0,5019.0887021475255,public,1.33461833377097,103.88016502252,TOA PAYOH,JOO SENG
10 LOR 7 TOA PAYOH,6720.972423802612,6471.669891952911,public,1.33716527577081,103.857228807914,TOA PAYOH,PEI CHUN
10 MARSILING DR,2857.142857142857,3174.340467894475,public,1.44080567418718,103.777318569996,WOODLANDS,WOODLANDS WEST
10 PINE CL,5935.25824964132,5812.996333492747,public,1.30915239429834,103.882242524292,GEYLANG,ALJUNIED
10 SELEGIE RD,6223.214285714286,6260.150375939849,public,1.30370879401395,103.850537238747,ROCHOR,BENCOOLEN
10 ST. GEORGE'S RD,4677.884615384615,4677.884615384615,public,1.32374648815059,103.863412150847,KALLANG,BENDEMEER
10 TECK WHYE AVE,4347.826086956522,4328.913900718417,public,1.38047055057828,103.755211075265,CHOA CHU KANG,TECK WHYE
10 TELOK BLANGAH CRES,4915.254237288135,4747.863247863248,public,1.27773153190559,103.819769431353,BUKIT MERAH,TELOK BLANGAH WAY
10 TOH YI DR,7109.58904109589,7287.621815019075,public,1.33753956576433,103.773161066389,BUKIT TIMAH,ANAK BUKIT
100 BEDOK NTH AVE 4,4419.002548234437,4536.989254228781,public,1.3343559340081,103.939032711241,BEDOK,BEDOK NORTH
100 C'WEALTH CRES,4881.35593220339,4851.405977002671,public,1.30770527644458,103.801272476263,QUEENSTOWN,COMMONWEALTH
100 LOR 1 TOA PAYOH,4492.64705882353,4482.269984917044,public,1.33956400517882,103.848585713817,TOA PAYOH,BRADDELL
100 WHAMPOA DR,4912.087912087913,4719.7032967032965,public,1.32077947735201,103.854348739922,NOVENA,BALESTIER
101 AH HOOD RD,5572.033898305084,5610.169491525424,public,1.32739678972464,103.84448102202,NOVENA,BALESTIER
101 ALJUNIED CRES,4957.900713822193,4906.344829028619,public,1.32092275330579,103.883351967045,GEYLANG,ALJUNIED
101 ANG MO KIO AVE 3,4503.601267646211,4531.581621873757,public,1.37026158388486,103.839467898898,ANG MO KIO,KEBUN BAHRU
101 BEDOK NTH AVE 4,4933.333333333333,5336.507936507936,public,1.334484667124,103.937924710969,BEDOK,BEDOK NORTH
101 BEDOK RESERVOIR RD,3983.7398373983738,4035.4382133370686,public,1.32844913301985,103.909937396599,BEDOK,KAKI BUKIT
101 BISHAN ST 12,6429.752066115702,6413.404308496202,public,1.34485915828152,103.848400765185,BISHAN,BISHAN EAST
101 BT BATOK WEST AVE 6,3854.692307692308,3943.767263716946,public,1.34670636093149,103.746920663038,BUKIT BATOK,BUKIT BATOK CENTRAL
101 BT PURMEI RD,5217.391304347826,5413.828762106014,public,1.27146256556443,103.825683545567,BUKIT MERAH,TELOK BLANGAH RISE
101 C'WEALTH CRES,4909.090909090909,4930.247071488776,public,1.30805159231327,103.800842814413,QUEENSTOWN,COMMONWEALTH
101 CLEMENTI ST 14,6446.280991735537,6100.631664194119,public,1.32208936757694,103.76893341249,CLEMENTI,SUNSET WAY
101 GANGSA RD,4736.111111111111,4713.580820909814,public,1.37916431633637,103.767439286222,BUKIT PANJANG,JELEBU
101 HENDERSON CRES,5709.45945945946,5699.211711711712,public,1.29071799751539,103.821625207737,BUKIT MERAH,HENDERSON HILL
101 HOUGANG AVE 1,3824.074074074074,4077.515283780249,public,1.35493747800562,103.891360573947,HOUGANG,LORONG AH SOO
101 JLN RAJAH,5143.617021276596,5277.750483558994,public,1.32880086167984,103.850782023537,NOVENA,BALESTIER
101 JURONG EAST ST 13,5220.588235294118,5209.407136855624,public,1.33701100762294,103.738787314099,JURONG EAST,YUHUA EAST
101 LENGKONG TIGA,6116.438356164384,6116.438356164384,public,1.32515983382087,103.910888819332,BEDOK,KEMBANGAN
101 PASIR RIS ST 12,4452.054794520548,4691.102210236346,public,1.36705021516612,103.958181857039,PASIR RIS,PASIR RIS DRIVE
101 POTONG PASIR AVE 1,6081.081081081081,6113.448388147183,public,1.33315710123237,103.868380398922,TOA PAYOH,POTONG PASIR
101 RIVERVALE WALK,3953.7,4171.577294787128,public,1.38276428975734,103.899272029115,SENGKANG,RIVERVALE
101 SERANGOON NTH AVE 1,4175.824175824176,4408.5036889991725,public,1.37103631988089,103.870360910842,SERANGOON,SERANGOON GARDEN
101 SIMEI ST 1,4929.6875,4932.619762409722,public,1.34071046807944,103.951272693025,TAMPINES,SIMEI
101 TAMPINES ST 11,4941.350210970464,4936.965889154092,public,1.34739870794535,103.945292359327,TAMPINES,TAMPINES EAST
101 TECK WHYE LANE,3929.577464788733,4199.943602606153,public,1.37788964623982,103.754239909547,CHOA CHU KANG,TECK WHYE
101 TOWNER RD,5649.72972972973,5644.731398064731,public,1.31943274557093,103.861091006776,KALLANG,BENDEMEER
101 WHAMPOA DR,4945.054945054945,4880.950549450549,public,1.32041710187602,103.853813946402,NOVENA,BALESTIER
101 WOODLANDS ST 13,4710.463449593884,4616.271318763948,public,1.43598159724925,103.781929846478,WOODLANDS,WOODLANDS WEST
101 YISHUN AVE 5,3750.0,4078.503659392922,public,1.43053231016112,103.827618665577,YISHUN,YISHUN WEST
101A CANBERRA ST,6351.038190582129,6351.038190582129,public,1.45173892803325,103.83045410628,SEMBAWANG,SEMBAWANG EAST
101A LOR 2 TOA PAYOH,6451.337931034483,6561.054981979664,public,1.33974126719163,103.847264187382,TOA PAYOH,BRADDELL
101A PUNGGOL FIELD,4272.727272727273,4505.361167227834,public,1.3979461677694,103.905945136259,PUNGGOL,PUNGGOL FIELD
101B LOR 2 TOA PAYOH,6256.944444444444,6265.959353089896,public,1.33959884500115,103.847605414427,TOA PAYOH,BRADDELL
101B PUNGGOL FIELD,4324.770642201835,4523.075091147385,public,1.39772042498827,103.90632016352,PUNGGOL,PUNGGOL FIELD
101C PUNGGOL FIELD,4311.926605504587,4424.1974828647935,public,1.39809045787162,103.906569305679,PUNGGOL,PUNGGOL FIELD
101D PUNGGOL FIELD,4159.090909090909,4403.560202020202,public,1.39848478483582,103.90614388692,PUNGGOL,PUNGGOL FIELD
102 ALJUNIED CRES,4485.074626865671,4581.279709617343,public,1.32048087061174,103.882472846091,GEYLANG,ALJUNIED
102 ANG MO KIO AVE 3,5070.866141732284,5205.506032854384,public,1.37065009769471,103.839410339836,ANG MO KIO,KEBUN BAHRU
102 BEDOK NTH AVE 4,4365.671641791045,4710.319140316275,public,1.33390654765002,103.937458398204,BEDOK,BEDOK NORTH
102 BEDOK RESERVOIR RD,4350.746268656716,4418.405085020105,public,1.32849187727623,103.90926515578,BEDOK,KAKI BUKIT
102 BISHAN ST 12,6568.31955922865,6739.015503613941,public,1.3451431233477,103.847990805259,BISHAN,BISHAN EAST
102 BT BATOK WEST AVE 6,4125.0,4145.093895450936,public,1.34745833930547,103.747473341114,BUKIT BATOK,BUKIT BATOK CENTRAL
102 BT PURMEI RD,5829.464738711315,5849.862217141897,public,1.2717673800708,103.82662196779,BUKIT MERAH,TELOK BLANGAH RISE
102 C'WEALTH CRES,4727.272727272727,4921.3824743061095,public,1.30782464878023,103.800629787177,QUEENSTOWN,COMMONWEALTH
102 CLEMENTI ST 14,5548.387096774193,5548.387096774193,public,1.32228557225905,103.769201884359,CLEMENTI,SUNSET WAY
102 GANGSA RD,4178.082191780822,4289.887839694995,public,1.37910762831305,103.768153816778,BUKIT PANJANG,JELEBU
102 HENDERSON CRES,5486.1,5544.770588235295,public,1.290366187147,103.82157708445,BUKIT MERAH,HENDERSON HILL
102 HOUGANG AVE 1,4264.705882352941,4300.300909965205,public,1.35496446293882,103.890855054687,HOUGANG,LORONG AH SOO
102 JLN DUSUN,5317.796610169491,5486.228813559322,public,1.3278687431847,103.844209602863,NOVENA,BALESTIER
102 JLN RAJAH,4872.340425531915,5097.163120567376,public,1.32822306444761,103.851519753845,NOVENA,BALESTIER
102 JURONG EAST ST 13,4852.941176470588,5095.882352941177,public,1.33609657873553,103.738219191663,JURONG EAST,YUHUA EAST
102 LENGKONG TIGA,6279.069767441861,6381.177561680218,public,1.32557930714658,103.91065754789,BEDOK,KEMBANGAN
102 PASIR RIS ST 12,4649.006371359224,4514.536360537729,public,1.36748427336516,103.958041055125,PASIR RIS,PASIR RIS DRIVE
102 POTONG PASIR AVE 1,5472.972972972973,5732.559482559483,public,1.3336901273759,103.868810587506,TOA PAYOH,POTONG PASIR
102 RIVERVALE WALK,4631.2056737588655,4998.928549215021,public,1.38180761026047,103.900893229708,SENGKANG,RIVERVALE
102 SERANGOON NTH AVE 1,3985.368421052632,4294.061423687451,public,1.37084327297737,103.871153606719,SERANGOON,SERANGOON GARDEN
102 SIMEI ST 1,4519.2307692307695,4683.202415668348,public,1.34134724729923,103.951355068944,TAMPINES,SIMEI
102 TAMPINES ST 11,4373.333333333333,4529.994305701749,public,1.34671616267656,103.945521388285,TAMPINES,TAMPINES EAST
102 TECK WHYE LANE,3388.429752066116,3671.140184001248,public,1.377082841385,103.754394432037,CHOA CHU KANG,TECK WHYE
102 TOWNER RD,6216.216216216216,6302.702702702703,public,1.32024939475758,103.858548602691,KALLANG,BENDEMEER
102 WOODLANDS ST 13,4720.537935323383,4694.19843306524,public,1.43608294925148,103.781199565987,WOODLANDS,WOODLANDS WEST
102A PUNGGOL FIELD,4111.111111111111,4603.559228650138,public,1.39883318313425,103.905783553043,PUNGGOL,PUNGGOL FIELD
102B PUNGGOL FIELD,3989.890909090909,4176.814046626157,public,1.39908525778671,103.905471407838,PUNGGOL,PUNGGOL FIELD
102C PUNGGOL FIELD,3973.214285714286,4350.534947954464,public,1.39876127750607,103.90493897318,PUNGGOL,PUNGGOL FIELD
102D PUNGGOL FIELD,4527.272727272727,4608.607817303469,public,1.39848070795436,103.905249752459,PUNGGOL,PUNGGOL FIELD
103 AH HOOD RD,5762.71186440678,5954.850791886635,public,1.32796267483785,103.844826964123,NOVENA,BALESTIER
103 ANG MO KIO AVE 3,4459.459459459459,4529.024935480455,public,1.37101657804604,103.839304839187,ANG MO KIO,KEBUN BAHRU
103 BEDOK NTH AVE 4,4340.388007054673,4551.860554396076,public,1.33348259133637,103.93754251438,BEDOK,BEDOK NORTH
103 BEDOK RESERVOIR RD,4431.164179104478,4750.41952484384,public,1.32877022232019,103.909381354431,BEDOK,KAKI BUKIT
103 BISHAN ST 12,6461.98347107438,6672.692881253851,public,1.34551249132105,103.848314162387,BISHAN,BISHAN EAST
103 BT BATOK CTRL,4444.444444444444,4508.271215108485,public,1.34835438788998,103.748094095917,BUKIT BATOK,BUKIT BATOK CENTRAL
103 BT PURMEI RD,5479.270315091211,5567.603663284533,public,1.27208558524996,103.825495615402,BUKIT MERAH,TELOK BLANGAH RISE
103 CLEMENTI ST 14,6024.793388429752,5863.942482314434,public,1.32258854750628,103.769176205799,CLEMENTI,SUNSET WAY
103 GANGSA RD,5000.0,4739.583333333333,public,1.37867070821171,103.768538440957,BUKIT PANJANG,JELEBU
103 HENDERSON CRES,5945.945945945946,5848.2328482328485,public,1.28974209684545,103.821375681569,BUKIT MERAH,HENDERSON HILL
103 HOUGANG AVE 1,4262.970031099801,4479.681462633117,public,1.35528223434405,103.89036014824,HOUGANG,LORONG AH SOO
103 JLN RAJAH,5202.898550724638,5367.712304207866,public,1.32734143333539,103.852780650365,NOVENA,BALESTIER
103 JURONG EAST ST 13,5307.866666666667,5216.004761904762,public,1.33668715015786,103.738059200285,JURONG EAST,YUHUA EAST
103 LENGKONG TIGA,6120.0,6134.639533666421,public,1.32585546338587,103.910598910975,BEDOK,KEMBANGAN
103 PASIR RIS ST 12,4087.378640776699,4271.671795764518,public,1.36769508123853,103.958404209993,PASIR RIS,PASIR RIS DRIVE
103 POTONG PASIR AVE 1,5639.358108108108,5523.992180382629,public,1.33411338676706,103.86952371664,TOA PAYOH,POTONG PASIR
103 RIVERVALE WALK,5019.444444444444,4987.066347869503,public,1.3829114767018,103.901208581138,SENGKANG,RIVERVALE
103 SERANGOON NTH AVE 1,4153.846153846154,4359.208341070092,public,1.37065548702787,103.870268931156,SERANGOON,SERANGOON GARDEN
103 SPOTTISWOODE PK RD,6288.135593220339,6363.7327031702025,public,1.27466096925721,103.835279824837,BUKIT MERAH,EVERTON PARK
103 TAMPINES ST 11,4347.619047619048,4511.558776895458,public,1.34769662535556,103.946229920882,TAMPINES,TAMPINES EAST
103 TECK WHYE LANE,3183.089637635092,3454.268544866536,public,1.37713078246274,103.753555993761,CHOA CHU KANG,TECK WHYE
103 TOWNER RD,5942.028985507246,6293.45616334862,public,1.32068853609859,103.86167006268,KALLANG,BENDEMEER
103 WOODLANDS ST 13,4135.572139303483,4172.18753172911,public,1.4366212320968,103.78097673981,WOODLANDS,WOODLANDS WEST
103 YISHUN RING RD,4462.686567164179,4542.929949555359,public,1.43136957726436,103.828892847707,YISHUN,YISHUN WEST
103A DEPOT RD,6100.0,6219.934640522876,public,1.28070197642689,103.813353428682,BUKIT MERAH,DEPOT ROAD
103A EDGEFIELD PLAINS,4159.090909090909,4468.879338842976,public,1.39825531783982,103.904753996381,PUNGGOL,PUNGGOL FIELD
103B DEPOT RD,5800.0,5959.618267789182,public,1.28073692384594,103.813135678562,BUKIT MERAH,DEPOT ROAD
103B EDGEFIELD PLAINS,4181.818181818182,4269.421487603307,public,1.39773127538403,103.90468537415,PUNGGOL,PUNGGOL FIELD
103C EDGEFIELD PLAINS,4045.4545454545455,4332.322909090909,public,1.39726660845387,103.90453836308,PUNGGOL,PUNGGOL FIELD
104 ALJUNIED CRES,4777.173913043478,5029.891304347826,public,1.32007895994221,103.882813553302,GEYLANG,ALJUNIED
104 BEDOK NTH AVE 4,4179.104477611941,4510.495071750092,public,1.3332985212474,103.936601473643,BEDOK,BEDOK NORTH
104 BEDOK RESERVOIR RD,4152.892561983472,4252.049936168784,public,1.32924536652386,103.909923721507,BEDOK,KAKI BUKIT
104 BISHAN ST 12,5821.8298555377205,5821.8298555377205,public,1.3456750211197,103.84803290576,BISHAN,BISHAN EAST
104 BT BATOK CTRL,4519.2307692307695,4481.078136232926,public,1.34899500255547,103.747258218606,BUKIT BATOK,BUKIT BATOK CENTRAL
104 BT PURMEI RD,5033.333333333334,5185.312829723006,public,1.27239853587858,103.825625504182,BUKIT MERAH,TELOK BLANGAH RISE
104 CLEMENTI ST 14,6054.421768707483,6032.847919331117,public,1.32294968512724,103.769189152266,CLEMENTI,SUNSET WAY
104 GANGSA RD,4693.110786008778,4664.383029658199,public,1.37880399486152,103.76796875654,BUKIT PANJANG,JELEBU
104 HENDERSON CRES,5560.810810810811,5625.0,public,1.2893692748935,103.821538089569,BUKIT MERAH,HENDERSON HILL
104 JLN DUSUN,5422.222222222223,5753.703703703704,public,1.32842530547543,103.844142365034,NOVENA,BALESTIER
104 JLN RAJAH,5769.507371449119,5466.591679519758,public,1.32780496961457,103.853262284564,NOVENA,BALESTIER
104 JURONG EAST ST 13,5073.529411764706,5074.696545284781,public,1.33658465311802,103.737623303842,JURONG EAST,YUHUA EAST
104 LENGKONG TIGA,5993.1506849315065,6204.673630348777,public,1.32563496745023,103.909815198327,BEDOK,KEMBANGAN
104 PASIR RIS ST 12,3971.153846153846,4281.886192974536,public,1.36795278031259,103.958702645232,PASIR RIS,PASIR RIS DRIVE
104 POTONG PASIR AVE 1,5642.201834862385,5669.8285761463785,public,1.3343391689203,103.869158899303,TOA PAYOH,POTONG PASIR
104 RIVERVALE WALK,3870.192307692308,4073.037389215828,public,1.38262745864985,103.900929877213,SENGKANG,RIVERVALE
104 SERANGOON NTH AVE 1,4473.684210526316,4635.401390800946,public,1.37059316193953,103.871086801722,SERANGOON,SERANGOON GARDEN
104 SPOTTISWOODE PK RD,6142.597002381286,6372.540204630665,public,1.27442754696062,103.834878784712,BUKIT MERAH,EVERTON PARK
104 TAMPINES ST 11,4206.089743589744,4510.409653637502,public,1.34720576651075,103.946641750013,TAMPINES,TAMPINES EAST
104 TECK WHYE LANE,3621.861093452003,3695.142926613817,public,1.37708162127187,103.752870448301,CHOA CHU KANG,TECK WHYE
104 TOWNER RD,6294.964028776978,6394.59121877048,public,1.32028930650381,103.858510209665,KALLANG,BENDEMEER
104 WHAMPOA DR,5545.386471420252,5800.350523032533,public,1.3207995912383,103.853327785421,NOVENA,BALESTIER
104 WOODLANDS ST 13,3873.6263736263736,4022.995120821208,public,1.43646587087026,103.781576865168,WOODLANDS,WOODLANDS WEST
104A ANG MO KIO ST 11,6344.827586206897,6595.497930491076,public,1.37182700854497,103.838803655863,ANG MO KIO,KEBUN BAHRU
104A CANBERRA ST,6654.228855721393,6389.243246134917,public,1.45035225780871,103.832262400576,SEMBAWANG,SEMBAWANG EAST
104A DEPOT RD,6059.895652173913,6005.708730250259,public,1.28045561330579,103.812317740785,BUKIT MERAH,DEPOT ROAD
104A EDGEFIELD PLAINS,4172.727272727273,4285.720247933885,public,1.3968057047795,103.905054187798,PUNGGOL,PUNGGOL FIELD
104B ANG MO KIO ST 11,5878.90625,5668.894340499487,public,1.37151151416054,103.838458787545,ANG MO KIO,KEBUN BAHRU
104B CANBERRA ST,6741.935483870968,6818.7097796977405,public,1.45007421711069,103.831377046227,SEMBAWANG,SEMBAWANG EAST
104B DEPOT RD,5995.689655172414,6006.963705959521,public,1.28049143987378,103.812100811742,BUKIT MERAH,DEPOT ROAD
104B EDGEFIELD PLAINS,4636.363636363636,4637.1534475186645,public,1.39660886204199,103.905303792463,PUNGGOL,PUNGGOL FIELD
104C CANBERRA ST,6344.086021505376,6417.195497168535,public,1.44970999451163,103.831775965127,SEMBAWANG,SEMBAWANG EAST
104D CANBERRA ST,6450.071157495257,6650.459097056805,public,1.44985632437762,103.83236697954,SEMBAWANG,SEMBAWANG EAST
105 ALJUNIED CRES,5050.50505050505,5155.255226057365,public,1.31946862097465,103.882751492944,GEYLANG,ALJUNIED
105 ANG MO KIO AVE 4,4771.739130434782,4691.38198757764,public,1.37231328287072,103.837601112788,ANG MO KIO,KEBUN BAHRU
105 BEDOK NTH AVE 4,4162.722970513287,4431.769347499547,public,1.33372280929,103.936517719048,BEDOK,BEDOK NORTH
105 BEDOK RESERVOIR RD,4274.253731343284,4394.836723913758,public,1.32914437941094,103.909112780576,BEDOK,KAKI BUKIT
105 BISHAN ST 12,6210.9375,6181.126068376068,public,1.34589493632505,103.847365252767,BISHAN,BISHAN EAST
105 BT BATOK CTRL,3798.076923076923,3860.39201183432,public,1.3485726542005,103.747156223784,BUKIT BATOK,BUKIT BATOK CENTRAL
105 BT PURMEI RD,5597.94296400187,5628.322570753648,public,1.27248301325334,103.824703021719,BUKIT MERAH,TELOK BLANGAH RISE
105 CLEMENTI ST 12,4977.611940298508,4927.036432561672,public,1.32271179028812,103.76988810369,CLEMENTI,SUNSET WAY
105 GANGSA RD,4523.809523809524,4397.935729043684,public,1.37831242120574,103.767763308976,BUKIT PANJANG,JELEBU
105 HENDERSON CRES,5230.769230769231,5250.92072613295,public,1.29021420176947,103.822356844711,BUKIT MERAH,HENDERSON HILL
105 JLN RAJAH,5666.666666666667,5667.011826126752,public,1.32826551427967,103.854154506034,NOVENA,BALESTIER
105 JURONG EAST ST 13,5021.978021978022,5314.227697768069,public,1.33738746819329,103.738527627347,JURONG EAST,YUHUA EAST
105 LENGKONG TIGA,5738.255033557047,5738.255033557047,public,1.32564831471452,103.91011217937,BEDOK,KEMBANGAN
105 PASIR RIS ST 12,3893.44262295082,4248.251586797398,public,1.36847895344914,103.957111490512,PASIR RIS,PASIR RIS DRIVE
105 POTONG PASIR AVE 1,5679.611650485437,5891.313765915707,public,1.3344146057866,103.86869426623,TOA PAYOH,POTONG PASIR
105 RIVERVALE WALK,4715.573770491803,4704.4662625566125,public,1.38215613071495,103.900711925224,SENGKANG,RIVERVALE
105 SERANGOON NTH AVE 1,4678.571428571428,4964.997474120083,public,1.37024745860601,103.870225980491,SERANGOON,SERANGOON GARDEN
105 SIMEI ST 1,4732.876712328767,4882.427504002846,public,1.34092459427981,103.950742498791,TAMPINES,SIMEI
105 TAMPINES ST 11,4430.379746835443,4698.372080802461,public,1.3480931246949,103.947177564477,TAMPINES,TAMPINES EAST
105 TECK WHYE LANE,4186.394467349382,4350.531109817745,public,1.37765001961331,103.7529943035,CHOA CHU KANG,TECK WHYE
105 TOWNER RD,6900.426742532006,6972.273293670997,public,1.32048559152829,103.861074545823,KALLANG,BENDEMEER
105 WOODLANDS ST 13,3764.823717948718,3937.243258553041,public,1.43684476168491,103.781579113316,WOODLANDS,WOODLANDS WEST
105A BIDADARI PK DR,11098.663151948786,10918.788834494446,public,1.33400699237548,103.870430572231,TOA PAYOH,SENNETT
105A DEPOT RD,8656.716417910447,8597.124483626407,public,1.28107116546835,103.811405730352,BUKIT MERAH,DEPOT ROAD
105A EDGEFIELD PLAINS,3912.6262626262624,4296.492704826039,public,1.3969413315622,103.905729497383,PUNGGOL,PUNGGOL FIELD
105B BIDADARI PK DR,10701.754385964912,10701.754385964912,public,1.33347403879152,103.870490405284,TOA PAYOH,SENNETT
105B EDGEFIELD PLAINS,4681.818181818182,4696.969696969697,public,1.39720646427031,103.906002280084,PUNGGOL,PUNGGOL FIELD
105C EDGEFIELD PLAINS,4244.444444444444,4596.111111111111,public,1.39767203537129,103.905598767902,PUNGGOL,PUNGGOL FIELD
105D EDGEFIELD PLAINS,4359.393939393939,4526.492704826038,public,1.39717530594813,103.905229595049,PUNGGOL,PUNGGOL FIELD
106 ALJUNIED CRES,4901.710957408081,5055.3211179873,public,1.31905494962151,103.882900918125,GEYLANG,ALJUNIED
106 ANG MO KIO AVE 4,4297.2972972972975,4399.063712634103,public,1.37193370323489,103.837486061851,ANG MO KIO,KEBUN BAHRU
106 BEDOK NTH AVE 4,4888.888888888889,5072.729292929293,public,1.33445895034228,103.937087136194,BEDOK,BEDOK NORTH
106 BEDOK RESERVOIR RD,4395.604395604396,4503.647898887486,public,1.32950152189669,103.909381688756,BEDOK,KAKI BUKIT
106 BISHAN ST 12,6285.714285714285,6263.668410954126,public,1.34610070068315,103.847847191353,BISHAN,BISHAN EAST
106 BT BATOK CTRL,4230.769230769231,4449.955248023005,public,1.3482223088624,103.74718849849,BUKIT BATOK,BUKIT BATOK CENTRAL
106 BT PURMEI RD,5024.271844660194,4931.390865057539,public,1.2729893703256,103.825626826099,BUKIT MERAH,TELOK BLANGAH RISE
106 GANGSA RD,4068.493150684932,4203.023730785437,public,1.3779019997366,103.767412279054,BUKIT PANJANG,JELEBU
106 HENDERSON CRES,5938.271604938272,5938.469135802468,public,1.28942452424589,103.822305493842,BUKIT MERAH,HENDERSON HILL
106 HOUGANG AVE 1,4938.271604938272,4609.774977672333,public,1.35370313485788,103.890680820842,HOUGANG,LORONG AH SOO
106 JLN DUSUN,5432.0888888888885,5493.001748229575,public,1.32855771177594,103.844796773619,NOVENA,BALESTIER
106 JLN RAJAH,5190.0,5372.159369174379,public,1.32847655795117,103.854698874866,NOVENA,BALESTIER
106 JURONG EAST ST 13,5270.833333333334,5267.195238095238,public,1.33724965052823,103.737674650927,JURONG EAST,YUHUA EAST
106 LENGKONG TIGA,6200.0,6115.2599972326,public,1.32508845931345,103.91000876961,BEDOK,KEMBANGAN
106 PASIR RIS ST 12,4560.706967213115,4407.93014804907,public,1.36801255048337,103.95765313312,PASIR RIS,PASIR RIS DRIVE
106 POTONG PASIR AVE 1,5540.540540540541,5742.300226152078,public,1.33410033566662,103.868171273744,TOA PAYOH,POTONG PASIR
106 RIVERVALE WALK,4297.520661157025,4390.605592862467,public,1.38249729178426,103.900321341916,SENGKANG,RIVERVALE
106 SERANGOON NTH AVE 1,5217.391304347826,5138.67373036171,public,1.37024462107298,103.87082295041,SERANGOON,SERANGOON GARDEN
106 SIMEI ST 1,4951.923076923077,4993.667568728672,public,1.34188521733435,103.950833481196,TAMPINES,SIMEI
