full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude,planning_area,subzone
274A COMPASSVALE BOW,6793.478260869565,7036.145393916075,public,1.38155355360941,103.890563070914,SENGKANG,COMPASSVALE
274A JURONG WEST AVE 3,3670.634920634921,3979.320634920635,public,1.35226505301544,103.703603969219,JURONG WEST,WENYA
274A PUNGGOL PL,5591.397849462365,5850.1442256363325,public,1.40273620716859,103.902352112902,PUNGGOL,MATILDA
274B COMPASSVALE BOW,7010.869565217391,7095.74733872002,public,1.38192277086883,103.890875719274,SENGKANG,COMPASSVALE
274B JURONG WEST ST 25,3464.285714285714,3656.36507936508,public,1.3528655530538,103.703280481903,JURONG WEST,WENYA
274B PUNGGOL PL,5876.037327360955,6092.899581647432,public,1.40311626293288,103.90228736359,PUNGGOL,MATILDA
274C COMPASSVALE BOW,7445.652173913043,7412.246047430831,public,1.3822866780118,103.891118468095,SENGKANG,COMPASSVALE
274C JURONG WEST ST 25,3674.603174603175,3877.154761904762,public,1.35291453790686,103.703828514186,JURONG WEST,WENYA
274C PUNGGOL PL,5752.688172043011,5819.495816729467,public,1.4032584306282,103.902008676006,PUNGGOL,MATILDA
274D JURONG WEST AVE 3,3550.4504504504503,3860.637182637183,public,1.35220345812642,103.704386059837,JURONG WEST,WENYA
274D PUNGGOL PL,5860.215053763441,6052.624006545114,public,1.40303370918855,103.901688542522,PUNGGOL,MATILDA
275 BANGKIT RD,3785.714285714286,3928.327979712595,public,1.37683552128544,103.774825848656,BUKIT PANJANG,BANGKIT
275 BT BATOK EAST AVE 4,4031.25,4468.75,public,1.34813625297267,103.758314162332,BUKIT BATOK,BUKIT BATOK EAST
275 CHOA CHU KANG AVE 2,3706.293706293706,3899.777030729412,public,1.37927559119004,103.742229694175,CHOA CHU KANG,KEAT HONG
275 PASIR RIS ST 21,4069.960004999375,4178.709042794884,public,1.36447159982392,103.964915429197,PASIR RIS,PASIR RIS DRIVE
275 TAMPINES ST 22,4623.479708103956,4757.789948004085,public,1.34781303677538,103.950409276356,TAMPINES,TAMPINES EAST
275 TOH GUAN RD,4488.888888888889,4474.917615240196,public,1.34106185650379,103.747964433747,JURONG EAST,TOH GUAN
275 YISHUN ST 22,3750.0,4048.980318623176,public,1.43775877119441,103.838690516562,YISHUN,NORTHLAND
275A BISHAN ST 24,8631.578947368422,8977.022941970312,public,1.35673539047075,103.843519752733,BISHAN,MARYMOUNT
275A COMPASSVALE LINK,6424.377777777778,6497.426639061421,public,1.38291029056779,103.894452829323,SENGKANG,COMPASSVALE
275A JURONG WEST ST 25,4009.009009009009,4032.356218287253,public,1.35241293514045,103.702221235164,JURONG WEST,WENYA
275B COMPASSVALE LINK,6277.777777777777,6492.334632683658,public,1.38333897024769,103.894522123516,SENGKANG,COMPASSVALE
275B JURONG WEST ST 25,3571.1111111111118,3762.376992376992,public,1.35288372552565,103.702480000176,JURONG WEST,WENYA
275C COMPASSVALE LINK,6500.0,6757.298886788491,public,1.38323915036519,103.893959919868,SENGKANG,COMPASSVALE
275C JURONG WEST ST 25,3603.603603603604,3826.60960960961,public,1.35312459771955,103.702771738144,JURONG WEST,WENYA
