project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
RESIDENTIAL APARTMENTS,112 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238707,59860.14468157325,59860.14468157325,private,103.84180755874436,1.2952369714074892,RIVER VALLEY,OXLEY
ZENITH,60 ZION ROAD ZENITH SINGAPORE 247785,21136.36363636364,20682.807769897096,private,103.83056807874692,1.2926368003646482,TANGLIN,CHATSWORTH
ASTORIA PARK,28 LORONG MYDIN ASTORIA PARK SINGAPORE 416883,11743.119266055046,12113.352782450183,private,103.9118083378099,1.3211432793018332,BEDOK,KEMBANGAN
SUITES 123,123 RANGOON ROAD SUITES 123 SINGAPORE 218401,14206.339544513456,14953.531435909532,private,103.85347816401158,1.3151499444864805,KALLANG,KAMPONG JAVA
AVON PARK,1 YOUNGBERG TERRACE AVON PARK SINGAPORE 357741,15822.784810126584,16326.686672819327,private,103.86977006083109,1.339245606403212,TOA PAYOH,WOODLEIGH
LANDED HOUSING DEVELOPMENT in LORONG MYDIN,LORONG MYDIN,14124.206144780344,14549.267729989246,private,103.91104182030952,1.3209360760835354,BEDOK,KEMBANGAN
SHAN GATE APARTMENTS,2 SHAN ROAD SHAN GATE APARTMENTS SINGAPORE 328103,14568.96551724138,13672.41379310345,private,103.84686456753884,1.3259127584902115,NOVENA,BALESTIER
D' CASITA,38 LORONG MARZUKI D' CASITA SINGAPORE 417104,13489.583333333332,13607.015159340852,private,103.9093527493844,1.3218960280411705,BEDOK,KEMBANGAN
BUCKLEY 18,18 BUCKLEY ROAD BUCKLEY 18 SINGAPORE 309776,19070.127659574468,19116.14714012192,private,103.84106325616315,1.3182956213973218,NOVENA,MOULMEIN
ASHLEY GREEN,34 BUKIT SEDAP ROAD ASHLEY GREEN SINGAPORE 279928,12446.411284746231,12446.411284746231,private,103.78399767708,1.3211276605233209,BUKIT TIMAH,HOLLAND ROAD
LEICESTER LODGE,9 LEICESTER ROAD LEICESTER LODGE SINGAPORE 358843,15403.225806451614,14435.483870967742,private,103.86687543023842,1.329985647788714,TOA PAYOH,POTONG PASIR
MONTCLAIR @ WHITLEY,121B WHITLEY ROAD MONTCLAIR @ WHITLEY SINGAPORE 297814,8888.888888888889,9310.940059603272,private,103.83693346495272,1.3258556211261645,NOVENA,MALCOLM
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,11644.295302013425,11644.295302013425,private,103.86073273868556,1.3107487038453622,KALLANG,LAVENDER
LANDED HOUSING DEVELOPMENT in CLIFTON VALE,6A CLIFTON VALE SINGAPORE 359674,9041.06953929018,9041.06953929018,private,103.86428005671384,1.3456423144975111,SERANGOON,LORONG CHUAN
SERENE VIEW MANSIONS,30 TAMARIND ROAD SERENE PARK SINGAPORE 806039,9952.838827838828,10368.61301267039,private,103.86720168476369,1.345950241870692,SERANGOON,LORONG CHUAN
THE WHARF RESIDENCE,15 TONG WATT ROAD THE WHARF RESIDENCE SINGAPORE 238026,23437.5,23285.90153972953,private,103.84020168175677,1.2932047992230713,RIVER VALLEY,INSTITUTION HILL
SHELFORD MANSIONS,27 SHELFORD ROAD SHELFORD MANSIONS SINGAPORE 288421,12289.56228956229,12289.56228956229,private,103.81170013256914,1.3283248109297578,BUKIT TIMAH,HILLCREST
LANDED HOUSING DEVELOPMENT in LORONG 28 GEYLANG,26 LORONG 28 GEYLANG GEYLANG CONSERVATION AREA SINGAPORE 398430,15698.986347401333,15533.084386980692,private,103.88588406176164,1.312287218647994,GEYLANG,ALJUNIED
LANDED HOUSING DEVELOPMENT in WAN THO AVENUE,25L WAN THO AVENUE WAN THO LODGE SINGAPORE 347554,10348.222424794894,10348.222424794894,private,103.8726360550162,1.333051755529555,TOA PAYOH,SENNETT
1953,1953,20570.17543859649,20567.45987988596,private,103.85775084988126,1.3164775240168958,KALLANG,LAVENDER
FIFTY-TWO STEVENS,52 STEVENS ROAD FIFTY-TWO STEVENS SINGAPORE 257848,20326.08695652174,20489.130434782608,private,103.82657031277952,1.3150243260271302,TANGLIN,NASSIM
WING FONG BUILDING,74A LORONG 8 GEYLANG WING FONG BUILDING SINGAPORE 399138,9052.631578947368,9052.631578947368,private,103.87726815142702,1.309017906764939,GEYLANG,ALJUNIED
NOVENA REGENCY,279 THOMSON ROAD NOVENA REGENCY SINGAPORE 307690,19402.17391304348,19135.3095736825,private,103.84139922814124,1.3214103749920365,NOVENA,MOULMEIN
KEMBANGAN COURT,5 JALAN MASJID KEMBANGAN COURT SINGAPORE 418924,12891.56626506024,12939.28187999523,private,103.91228871467897,1.319622124361137,BEDOK,KEMBANGAN
BOUGAINVILLA APARTMENTS,12 LORONG 19 GEYLANG BOUGAINVILLA APARTMENTS SINGAPORE 388493,10439.56043956044,10147.746292409212,private,103.87976633009558,1.3134965900743878,GEYLANG,ALJUNIED
SKYLINE @ ORCHARD BOULEVARD,23 ANGULLIA PARK SKYLINE @ ORCHARD BOULEVARD SINGAPORE 239975,46628.57142857143,48357.42063492064,private,103.82957754843922,1.3031542807269036,RIVER VALLEY,ONE TREE HILL
THE IVERIA,2 KIM YAM ROAD THE IVERIA SINGAPORE 239320,27665.24064171123,27765.170613700026,private,103.83856744026065,1.2952856447191834,RIVER VALLEY,INSTITUTION HILL
LANDED HOUSING DEVELOPMENT in MOUNT ROSIE ROAD,11N MOUNT ROSIE ROAD ROSIE VIEW SINGAPORE 308067,9174.057649667406,10586.538590134192,private,103.83478062994784,1.3220844687735265,NOVENA,MALCOLM
RIVERSIDE 48,48 ROBERTSON QUAY RIVERSIDE 48 SINGAPORE 238237,20303.030303030304,20081.278101471253,private,103.8398047521586,1.2909255399316997,SINGAPORE RIVER,ROBERTSON QUAY
DUCHESS CREST,68 DUCHESS AVENUE DUCHESS CREST SINGAPORE 269129,17687.07482993197,17213.65973576665,private,103.802991509285,1.3246642552344807,BUKIT TIMAH,CORONATION ROAD
TWO8ONE STUDIO,281 RIVER VALLEY ROAD TWO8ONE STUDIO SINGAPORE 238322,18552.631578947367,18552.631578947367,private,103.83986103477282,1.295717052842385,RIVER VALLEY,INSTITUTION HILL
CORONATION GROVE,140 CORONATION ROAD CORONATION GROVE SINGAPORE 269526,19213.483146067418,18887.727549864994,private,103.80220727694277,1.3228070752549737,BUKIT TIMAH,CORONATION ROAD
BELMOND GREEN,15D BALMORAL ROAD BELMOND GREEN SINGAPORE 259819,22500.0,23465.66984942514,private,103.83158982838803,1.3160274772910294,TANGLIN,NASSIM
LANDED HOUSING DEVELOPMENT in WATTEN PARK,12 WATTEN PARK WATTEN ESTATE SINGAPORE 287409,18817.204301075268,18817.204301075268,private,103.8081086059392,1.3269231393073662,BUKIT TIMAH,HILLCREST
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,24469.820554649268,24469.820554649268,private,103.87682519129623,1.3100030085697976,GEYLANG,ALJUNIED
LANDED HOUSING DEVELOPMENT in GREENLEAF DRIVE,26 GREENLEAF DRIVE SINGAPORE 279539,18890.858445176,22995.709553749897,private,103.78412716349608,1.3225878482733926,BUKIT TIMAH,HOLLAND ROAD
RANGOON APARTMENTS,60 RANGOON ROAD R66 APARTMENTS SINGAPORE 218350,13148.14814814815,13148.14814814815,private,103.8530412426658,1.3173841251093437,KALLANG,KAMPONG JAVA
GRANGE HEIGHTS,19 SAINT THOMAS WALK GRANGE HEIGHTS SINGAPORE 238144,19988.70056497175,19662.49962839512,private,103.83522568985371,1.29778010550233,RIVER VALLEY,LEONIE HILL
DALVEY COURT,28 DALVEY ESTATE DALVEY COURT SINGAPORE 259548,15887.442136792337,15887.442136792337,private,103.82217284654266,1.321025698860671,TANGLIN,NASSIM
KARTAR APARTMENTS,43C THOMSON ROAD KARTAR APARTMENTS SINGAPORE 307583,27820.710973724883,27820.710973724883,private,103.84484339254936,1.3149224128700876,NOVENA,MOULMEIN
GUILIN COURT,10 LORONG 26 GEYLANG GUILIN COURT SINGAPORE 398485,11467.88990825688,11467.88990825688,private,103.8846624815566,1.312258546974204,GEYLANG,ALJUNIED
D'LOTUS,10 LORONG AMPAS D'LOTUS SINGAPORE 328784,15622.641509433965,15489.516933534172,private,103.85349601961462,1.326118367569272,NOVENA,BALESTIER
THE TESSARINA,30 WILBY ROAD THE TESSARINA SINGAPORE 276310,20764.393939393936,20717.60712658032,private,103.78922865075616,1.3321774182084023,BUKIT TIMAH,HOLLAND ROAD
LANDED HOUSING DEVELOPMENT in TRURO ROAD,62 TRURO ROAD SINGAPORE 217606,14508.928571428572,13814.887742827765,private,103.84933551243908,1.314550698724763,KALLANG,KAMPONG JAVA
PARC ASTON,2 LEICESTER ROAD PARC ASTON SINGAPORE 358831,13518.518518518518,13518.518518518518,private,103.86759799810432,1.330126732306277,TOA PAYOH,POTONG PASIR
SHAW PLAZA - TWIN HEIGHTS,352 BALESTIER ROAD SHAW PLAZA - TWIN HEIGHTS SINGAPORE 329780,14580.862977602108,14360.638998682476,private,103.85130818830382,1.3248517272581477,NOVENA,BALESTIER
SUITES @ NEWTON,1 SURREY ROAD SUITES @ NEWTON SINGAPORE 307740,21017.094017094016,20591.531887523517,private,103.84167183395353,1.3164003557720565,NOVENA,MOULMEIN
28 RC SUITES,28 RACE COURSE LANE 28 RC SUITES SINGAPORE 218746,17500.0,16642.589622615298,private,103.85295200543598,1.3099817921772976,ROCHOR,FARRER PARK
MOUNT SINAI RESIDENCES,35 MOUNT SINAI LANE MT SINAI RESIDENCES SINGAPORE 275788,6578.9473684210525,6578.9473684210525,private,103.78596092697022,1.3162989500345283,BUKIT TIMAH,ULU PANDAN
THE LEGACY,455 BUKIT TIMAH ROAD THE LEGACY SINGAPORE 259750,19690.140845070426,20180.89492008229,private,103.82263971950748,1.3210450834503848,TANGLIN,NASSIM
THE CLAYMORE,27 CLAYMORE ROAD THE CLAYMORE SINGAPORE 229544,34655.232583065386,33693.436407352136,private,103.83160844919902,1.3091282955155026,NEWTON,ORANGE GROVE
111 EMERALD HILL,111 EMERALD HILL ROAD 111 EMERALD HILL SINGAPORE 229391,24099.45909960889,24658.381347188533,private,103.83923580686796,1.3050592134410504,NEWTON,CAIRNHILL
CAMDEN PARK,15 CAMDEN PARK CAMDEN PARK SINGAPORE 299806,21065.59502203785,21065.59502203785,private,103.81507770822957,1.3293052727922896,NOVENA,DUNEARN
ROBIN VILLAGE,9A ROBIN ROAD ROBIN VILLAGE SINGAPORE 258188,26017.34489659773,26017.34489659773,private,103.82865403430836,1.3183480044565543,TANGLIN,NASSIM
MING TECK PARK,50 MING TECK PARK MING TECK PARK SINGAPORE 277417,23520.45713353433,23832.036953539377,private,103.78861889366068,1.3204687762093528,BUKIT TIMAH,HOLLAND ROAD
8 BASSEIN,8 BASSEIN ROAD 8 BASSEIN SINGAPORE 309838,19761.904761904763,19751.54580350659,private,103.84810821749969,1.3235374801467086,NOVENA,BALESTIER
GALLERY FIFTEEN,31 JALAN DUSUN GALLERY FIFTEEN SINGAPORE 329370,14019.040626529611,14019.040626529611,private,103.84370550720614,1.327561401008973,NOVENA,BALESTIER
TUDOR TEN,19 TUDOR CLOSE TUDOR TEN SINGAPORE 297971,7135.826771653543,7114.226767785361,private,103.81960486213092,1.326243947375658,NOVENA,DUNEARN
ROBERTSON BLUE,88 ROBERTSON QUAY ROBERTSON BLUE SINGAPORE 238247,23260.869565217392,22850.789961668863,private,103.83734288017943,1.2902712719640268,SINGAPORE RIVER,ROBERTSON QUAY
CASA SOPHIA,103 SOPHIA ROAD SUITES @ SOPHIA SINGAPORE 228168,20322.354590049054,20322.354590049054,private,103.84631920979244,1.3025094423087826,ROCHOR,MOUNT EMILY
THE URBANITE,29 HERTFORD ROAD THE URBANITE SINGAPORE 219384,17280.14571948998,16251.74865460136,private,103.84837206506064,1.3135102623813624,KALLANG,KAMPONG JAVA
LANDED HOUSING DEVELOPMENT in JALAN GRISEK,11 JALAN UBI MINDS - EUNOS TRAINING & DEVELOPMENT CENTRE SINGAPORE 409074,15192.83209972731,16713.835328539088,private,103.91807270879916,1.3245025121917156,BEDOK,KEMBANGAN
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,22757.69745649264,22757.69745649264,private,103.82756173307428,1.3190069059301657,TANGLIN,NASSIM
MOONSTONE RESIDENCES,25 MOONSTONE LANE MOONSTONE RESIDENCES SINGAPORE 328465,12848.484848484848,13336.155811128603,private,103.86606572725884,1.327098635756343,KALLANG,BENDEMEER
HENRY PARK,47 GROVE AVENUE HENRY PARK SINGAPORE 279208,22173.23651452282,23845.54299357152,private,103.78455656858226,1.3126438313293438,BUKIT TIMAH,ULU PANDAN
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,12018.348623853211,12018.348623853211,private,103.87559433387575,1.312673703857693,GEYLANG,ALJUNIED
KOPAR AT NEWTON,8 MAKEWAY AVENUE KOPAR AT NEWTON SINGAPORE 228607,25931.765706599144,26023.59663311016,private,103.84080562803403,1.312731108890849,NOVENA,MOULMEIN
LANDED HOUSING DEVELOPMENT in JALAN LATEH,480 LORONG 6 TOA PAYOH HOUSING AND DEVELOPMENT BOARD (HDB) SINGAPORE 310480,17705.927636643573,16997.265228286156,private,103.86969242049403,1.3450002726639965,SERANGOON,LORONG CHUAN
MANHATTAN MANSIONS,76 GRANGE ROAD MANHATTAN MANSIONS SINGAPORE 249580,19558.82352941177,19557.91418016482,private,103.82848915610504,1.2997808301633953,RIVER VALLEY,ONE TREE HILL
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,9775.175644028102,9775.175644028102,private,103.85292606542676,1.3176532002730588,KALLANG,KAMPONG JAVA
THREE THREE ROBIN,33 ROBIN ROAD THREE THREE ROBIN SINGAPORE 258208,23792.890375109044,23660.781808243035,private,103.82879923801862,1.3168058027398264,TANGLIN,NASSIM
JERVOIS GROVE,100 JERVOIS ROAD JERVOIS GROVE SINGAPORE 249056,19946.153846153848,19946.153846153848,private,103.81856774495334,1.2948958006786562,TANGLIN,CHATSWORTH
LANDED HOUSING DEVELOPMENT in CORONATION WALK,11 CORONATION WALK SINGAPORE 269216,18201.183545311756,18201.183545311756,private,103.80915652654345,1.3228930127985097,BUKIT TIMAH,CORONATION ROAD
DORMER PARK,55 JERVOIS ROAD DORMER PARK SINGAPORE 249047,19478.260869565216,19508.093606423525,private,103.8214311532112,1.2942955352739494,TANGLIN,CHATSWORTH
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,10063.38028169014,10063.38028169014,private,103.8561465257453,1.312382328664085,KALLANG,LAVENDER
2 RVG,2 RIVER VALLEY GROVE 2 RVG SINGAPORE 238405,22093.023255813958,21671.58918064284,private,103.83431262548456,1.2965474036839322,RIVER VALLEY,LEONIE HILL
SUITES@BRADDELL,56 BRADDELL ROAD SUITES@BRADDELL SINGAPORE 359965,15206.456456456455,15511.514598087768,private,103.868658434778,1.343547961072506,SERANGOON,LORONG CHUAN
BIRCHWOOD MANSIONS,3 JALAN AMPAS BIRCHWOOD MANSIONS SINGAPORE 329504,13247.863247863248,14002.849002849003,private,103.850839479311,1.32594687227507,NOVENA,BALESTIER
KENTISH COURT,33 OXFORD ROAD KENTISH COURT SINGAPORE 218816,12060.012123661343,12211.614853105631,private,103.85236575469284,1.3151453452627166,KALLANG,KAMPONG JAVA
BLOSSOM VIEW,31 LORONG 26 GEYLANG BLOSSOM VIEW SINGAPORE 398498,10052.083333333334,10414.349307012306,private,103.88505993012257,1.311647734854638,GEYLANG,ALJUNIED
SLOANE RESIDENCES,17 BALMORAL ROAD SLOANE RESIDENCES SINGAPORE 259803,31017.241379310344,31110.98181066279,private,103.83231794887872,1.3156888721620963,TANGLIN,NASSIM
LANDED HOUSING DEVELOPMENT in DAISY ROAD,18 DAISY ROAD DAISY TERRACE SINGAPORE 359439,13194.288082859131,13194.288082859131,private,103.86689706492976,1.34405125531251,SERANGOON,LORONG CHUAN
THREE BUCKLEY,3 BUCKLEY ROAD THREE BUCKLEY SINGAPORE 309752,16256.15763546798,16258.431247392831,private,103.83987437894828,1.317015214113153,NOVENA,MOULMEIN
THE ARMADALE,60 GILSTEAD ROAD THE ARMADALE SINGAPORE 309104,18253.96825396825,18170.283448070724,private,103.84026880843072,1.3185676532959834,NOVENA,MOULMEIN
WATTEN RESIDENCES,24 WATTEN RISE WATTEN RESIDENCES SINGAPORE 287312,11973.684210526317,11647.81571501093,private,103.8084132898869,1.3282683600006446,BUKIT TIMAH,HILLCREST
ALLSWORTH PARK,369 HOLLAND ROAD ALLSWORTH PARK SINGAPORE 278640,18541.666666666668,18662.23090284133,private,103.78057523970698,1.3199559113376302,BUKIT TIMAH,ULU PANDAN
GAIA,33 JALAN DUSUN GAIA SINGAPORE 329371,17058.823529411766,16406.21612329813,private,103.84370943570264,1.327845108483344,NOVENA,BALESTIER
D' PALMA,18 LORONG MYDIN D' PALMA SINGAPORE 416817,11694.915254237289,12056.528054981076,private,103.91177990355108,1.3200500572978386,BEDOK,KEMBANGAN
WILKIE STUDIO,86 WILKIE ROAD WILKIE STUDIO SINGAPORE 228096,18718.703976435936,18788.94791052523,private,103.84761150522918,1.3034384430627235,ROCHOR,MOUNT EMILY
JERVOIS VIEW,21 JERVOIS ROAD JERVOIS VIEW SINGAPORE 249004,18586.95652173913,18586.95652173913,private,103.82408915812584,1.2938933949179512,TANGLIN,CHATSWORTH
THE WATER EDGE,8 LORONG 38 GEYLANG THE WATER EDGE SINGAPORE 398106,15891.891891891892,15631.483687868018,private,103.8887595794561,1.3137210519005862,GEYLANG,ALJUNIED
PARC STEVENS,25 STEVENS DRIVE PARC STEVENS SINGAPORE 257922,21232.394366197183,21240.434716768028,private,103.82673345553825,1.3169119711432826,TANGLIN,NASSIM
LANDED HOUSING DEVELOPMENT in JALAN LAPANG,JALAN LAPANG,21692.30769230769,21617.7535217387,private,103.917127713492,1.3226749914077625,BEDOK,KEMBANGAN
KALLANG RIVERSIDE,51 KAMPONG BUGIS KALLANG RIVERSIDE SINGAPORE 338986,26881.720430107525,26315.02871433056,private,103.8670878185115,1.307104741817286,KALLANG,KAMPONG BUGIS
ASCENT @ 456,456 BALESTIER ROAD ASCENT @ 456 SINGAPORE 329832,15312.5,15889.487202380951,private,103.84835989381916,1.326573607898336,NOVENA,BALESTIER
MORI,11 GILSTEAD ROAD MORIMASA GARDENS SINGAPORE 309065,20362.27465535525,20351.42452282734,private,103.882972095616,1.3113121978760502,GEYLANG,ALJUNIED
PEAK RESIDENCE,333 THOMSON ROAD PEAK RESIDENCE SINGAPORE 307675,26393.818181818184,26795.658366680167,private,103.84072442668186,1.3253446042959995,NOVENA,MALCOLM
LANDED HOUSING DEVELOPMENT in MING TECK PARK,47 MING TECK PARK MING TECK PARK SINGAPORE 277414,22146.43977562985,22090.43110572272,private,103.7873503569678,1.3194056577694069,BUKIT TIMAH,HOLLAND ROAD
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,21257.48502994012,21876.24750499002,private,103.82973337784904,1.314471983667492,TANGLIN,NASSIM
PARK COLONIAL,8 WOODLEIGH LANE PARK COLONIAL SINGAPORE 357688,22096.58762290341,21883.64933603972,private,103.8700799859202,1.3385388391226674,TOA PAYOH,WOODLEIGH
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,20209.12112941384,20209.12112941384,private,103.87627542191696,1.3095291125665278,GEYLANG,ALJUNIED
BALESTIER PLAZA,400 BALESTIER ROAD BALESTIER PLAZA SINGAPORE 329802,12150.537634408602,11922.716750344256,private,103.85038255114377,1.3257440909007283,NOVENA,BALESTIER
PATERSON LINC,20 PATERSON ROAD PATERSON LINC SINGAPORE 238509,25368.42105263158,24213.44493741761,private,103.82998490642984,1.3031945244523706,RIVER VALLEY,ONE TREE HILL
LANDED HOUSING DEVELOPMENT in CORNWALL GARDENS,CORNWALL GARDENS,21728.108274385,21374.299371287547,private,103.80060596479667,1.316876900387442,BUKIT TIMAH,LEEDON PARK
GRAMERCY PARK,57 GRANGE ROAD GRAMERCY PARK SINGAPORE 249569,35502.53548387096,34705.547451168466,private,103.82667748385737,1.2987808922794035,TANGLIN,CHATSWORTH
ONE LEICESTER,1 LEICESTER ROAD ONE LEICESTER SINGAPORE 358828,15882.35294117647,16178.72104189411,private,103.86735725186348,1.329430695647404,TOA PAYOH,POTONG PASIR
LANDED HOUSING DEVELOPMENT in JALAN KEMBANGAN,JALAN KEMBANGAN,10312.452253628726,11167.60207558538,private,103.91409457881826,1.3215522468591256,BEDOK,KEMBANGAN
DORSET MANSIONS,101 DORSET ROAD DORSET MANSIONS SINGAPORE 219494,13305.519897304235,13305.519897304235,private,103.85008637019013,1.313444859874192,KALLANG,KAMPONG JAVA
LANDED HOUSING DEVELOPMENT in HAPPY AVENUE NORTH,1 HAPPY AVENUE NORTH HAPPY MANSION SINGAPORE 369736,17238.984211478943,17238.984211478943,private,103.88159182437748,1.33131306436675,GEYLANG,MACPHERSON
LANDED HOUSING DEVELOPMENT in NAMLY AVENUE,NAMLY AVENUE,23453.239342061097,22804.003497895952,private,103.79400183073504,1.3255946863777428,BUKIT TIMAH,CORONATION ROAD
DUNSFOLD RESIDENCES,3C DUNSFOLD DRIVE DUNSFOLD RESIDENCES SINGAPORE 357718,5000.0,5000.0,private,103.8608664038192,1.344273874651386,SERANGOON,LORONG CHUAN
ST THOMAS SUITES,31 SAINT THOMAS WALK SAINT THOMAS SUITES SINGAPORE 238141,22958.57988165681,23040.430444770816,private,103.83589830313932,1.2984103723914058,RIVER VALLEY,LEONIE HILL
HOLLAND HILL PARK,7A HOLLAND HILL HOLLAND HILL PARK SINGAPORE 278732,16800.887021475257,17647.953792940276,private,103.80220212361203,1.3098480860109671,BUKIT TIMAH,LEEDON PARK
LANDED HOUSING DEVELOPMENT in ONE TREE HILL,ONE TREE HILL,37577.788415509815,34583.65944618342,private,103.8269441121362,1.301282446398078,RIVER VALLEY,ONE TREE HILL
BEAUFORT ON NASSIM,12 NASSIM ROAD BEAUFORT ON NASSIM SINGAPORE 258380,30594.0594059406,29487.05366163439,private,103.82473848384323,1.3085693549471114,TANGLIN,NASSIM
THE VERVE,23 JALAN RAJAH THE VERVE SINGAPORE 329138,14570.175438596492,14564.32196743612,private,103.84813730435285,1.3277218824870267,NOVENA,BALESTIER
JAYA TOWER,431 BUKIT TIMAH ROAD JAYA TOWER SINGAPORE 259738,21542.55319148936,21274.93852239923,private,103.8239781247802,1.3201070173060516,TANGLIN,NASSIM
LANDED HOUSING DEVELOPMENT in JALAN SENYUM,JALAN SENYUM,14691.708380226795,15131.08647668167,private,103.91469962302344,1.3220140286611195,BEDOK,KEMBANGAN
LANDED HOUSING DEVELOPMENT in HOLLAND GROVE VIEW,101 HOLLAND GROVE VIEW HOLLAND GROVE SINGAPORE 276258,10778.57142857143,10778.57142857143,private,103.77964731336692,1.3133089952879091,BUKIT TIMAH,ULU PANDAN
DENG FU VILLE,30 KAMPONG EUNOS DENG FU VILLE SINGAPORE 417777,15148.50778237898,14836.755999322591,private,103.90672765004382,1.3190710300348951,BEDOK,KEMBANGAN
QUEEN ASTRID PARK,11 QUEEN ASTRID PARK QUEEN ASTRID PARK SINGAPORE 266801,29104.19980371586,29104.19980371586,private,103.78933709540787,1.3175985601502611,BUKIT TIMAH,LEEDON PARK
CUSCADEN RESERVE,8 CUSCADEN ROAD CUSCADEN RESERVE SINGAPORE 249732,32618.42105263158,33121.09949052798,private,103.82516716046132,1.3036101123014727,ORCHARD,TANGLIN
BALMY COURT,6 LORONG 27A GEYLANG BALMY COURT SINGAPORE 388105,10133.161512027493,9901.632302405498,private,103.88494957782125,1.3141583513132031,GEYLANG,ALJUNIED
CENTURION RESIDENCES,3B PUAY HEE AVENUE CENTURION RESIDENCES SINGAPORE 347467,7273.239436619719,7552.366141292198,private,103.86999037377852,1.329487519103243,TOA PAYOH,SENNETT
FRANKEL ESTATE,109A FRANKEL AVENUE FRANKEL ESTATE SINGAPORE 458228,12921.903685920068,12921.903685920068,private,103.92064498152,1.3132683213852865,BEDOK,FRANKEL
SUFFOLK PREMIER,3 SUFFOLK ROAD SUFFOLK PREMIER SINGAPORE 307781,18000.0,17519.072164948455,private,103.8446867300256,1.314243997916279,NOVENA,MOULMEIN
E MAISON,32 BRADDELL ROAD E MAISON SINGAPORE 359967,15431.03448275862,15683.504304646423,private,103.86870136802835,1.344106028921467,SERANGOON,LORONG CHUAN
LANDED HOUSING DEVELOPMENT in HERTFORD ROAD,HERTFORD ROAD,19143.1780304221,19143.1780304221,private,103.84832517643724,1.3133092513105693,KALLANG,KAMPONG JAVA
OLEANDER TOWERS,913 LORONG 1 TOA PAYOH OLEANDER TOWERS SINGAPORE 319772,13060.574593284871,13380.990091656862,private,103.84434171650604,1.3331844741173149,TOA PAYOH,TOA PAYOH CENTRAL
THE LEGEND,361 BUKIT TIMAH ROAD THE LEGEND SINGAPORE 259725,18382.930019620668,18108.69464854824,private,103.82938252045555,1.3182810789992654,TANGLIN,NASSIM
JUNIPER AT ARDMORE,6 ARDMORE PARK JUNIPER AT ARDMORE SINGAPORE 259953,29113.6430896715,29113.6430896715,private,103.82964335580294,1.3087598441534418,NEWTON,ORANGE GROVE
MILFORD VILLAS,16L LORONG SELANGAT MILFORD VILLAS SINGAPORE 358755,11445.78313253012,11303.880312199664,private,103.8687957390029,1.3459485926873744,SERANGOON,LORONG CHUAN
THE TOMLINSON,20 CUSCADEN ROAD THE TOMLINSON SINGAPORE 249726,25655.97667638484,25440.028277457463,private,103.82607991656566,1.304415667448574,ORCHARD,TANGLIN
BLISS VILLE,69H LORONG MELAYU BLISS VILLE SINGAPORE 417030,13407.407407407409,13075.59772845833,private,103.9091351227936,1.3237471561917973,BEDOK,KEMBANGAN
MEDGE,2 MINBU ROAD MEDGE SINGAPORE 308186,17066.666666666668,17016.093241177416,private,103.85038082688814,1.3233743225339676,NOVENA,BALESTIER
SCENIC HEIGHTS,245 BALESTIER ROAD SCENIC HEIGHTS SINGAPORE 329929,15529.411764705885,14782.418608356891,private,103.8521700597753,1.321625884535792,NOVENA,BALESTIER
PINEWOOD GARDENS,25 BALMORAL PARK PINEWOOD GARDENS SINGAPORE 259854,20571.846498020997,21310.274482849443,private,103.83008177347904,1.3154679822374775,TANGLIN,NASSIM
MEDALLION,146P BRADDELL ROAD MEDALLION SINGAPORE 359962,7530.120481927711,7754.83416434911,private,103.86238618841888,1.3440292488633754,SERANGOON,LORONG CHUAN
THE DIAMOND,17 LORONG 9 GEYLANG THE DIAMOND SINGAPORE 388761,11582.34126984127,11582.34126984127,private,103.87619003618298,1.3129848045240509,GEYLANG,ALJUNIED
CASSIA EDGE,343 GUILLEMARD ROAD CASSIA EDGE SINGAPORE 399764,15151.515151515152,14735.910518377214,private,103.8858279014252,1.3115741549640398,GEYLANG,ALJUNIED
DUCHESS ROYALE,32 DUCHESS AVENUE DUCHESS ROYALE SINGAPORE 269105,15986.394557823129,15986.394557823129,private,103.80617751481586,1.3242030992608835,BUKIT TIMAH,CORONATION ROAD
THE LINCOLN MODERN,20 LINCOLN ROAD THE LINCOLN MODERN SINGAPORE 308353,17578.125,18207.7500821778,private,103.84305586880444,1.3153231258796974,NOVENA,MOULMEIN
