project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
LILYDALE,560 YISHUN AVENUE 6 LILYDALE SINGAPORE 768966,7909.909909909909,8134.859566696531,private,103.84931678712273,1.4248756510719982
RIVERBANK @ FERNVALE,17 FERNVALE CLOSE RIVERBANK @ FERNVALE SINGAPORE 797478,13093.26675257732,13384.55189432562,private,103.88158056472221,1.394561041720033
THE BROOKS I,60 SPRINGSIDE WALK THE BROOKS I SINGAPORE 786020,15178.57142857143,15063.90042597664,private,103.81946550013983,1.4048091150779372
LANDED HOUSING DEVELOPMENT in TAMARIND ROAD,47 TAMARIND ROAD SINGAPORE 806136,8244.446355992344,8244.446355992344,private,103.86213615724134,1.3895442723355507
ROSEWOOD,13 ROSEWOOD DRIVE ROSEWOOD SINGAPORE 737940,9090.90909090909,9102.234032062466,private,103.78699843127166,1.4314454595391095
GREEN HILL ESTATE,5 CHESTNUT CLOSE GREEN HILL ESTATE SINGAPORE 679447,13536.431978630031,13130.11957319069,private,103.77254175772617,1.3698865699916312
LANDED HOUSING DEVELOPMENT in SPRINGSIDE AVENUE,74 SPRINGSIDE AVENUE THE SPRINGSIDE SINGAPORE 786572,11507.293354943275,11507.293354943275,private,103.81943640989425,1.4025857280473166
REGENT GROVE,52 CHOA CHU KANG NORTH 7 REGENT GROVE SINGAPORE 689528,8711.711711711712,8841.168975713075,private,103.74880666612265,1.3993115194014791
BURGUNDY HILL,41 BURGUNDY DRIVE BURGUNDY HILL SINGAPORE 658838,10975.60975609756,11109.486579332222,private,103.76160639946639,1.3386499783045311
PHOENIX RESIDENCES,85 PHOENIX AVENUE PHOENIX RESIDENCES SINGAPORE 668385,16590.552083333332,16794.264591598516,private,103.75743866441658,1.3754813072372407
WATERCOVE,165 WAK HASSAN DRIVE WATERCOVE SINGAPORE 757576,8959.627329192546,9557.957044275103,private,103.83917083010859,1.4618765417055681
SARACA VILLAS,99 SARACA TERRACE SARACA VILLAS SINGAPORE 805518,9516.201535730823,9439.377766548905,private,103.85885350908455,1.3829696977225896
TEACHERS' HOUSING ESTATE,10 IQBAL AVENUE TEACHER'S HOUSING ESTATE SINGAPORE 789453,16508.407517309595,16508.407517309595,private,103.83002474696515,1.3801807582462793
