full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
927 HOUGANG ST 91,5104.166666666666,4929.880952380952,public,1.37662335333217,103.880796067166
927 TAMPINES ST 91,4362.745098039216,4379.8345026083825,public,1.34615293908617,103.940497682184
927 YISHUN CTRL 1,4916.744840525329,4764.182075887594,public,1.42767464529376,103.837731455467
928 HOUGANG ST 91,4000.0,4161.462822752864,public,1.37665907953019,103.881516333231
928 JURONG WEST ST 92,4174.757281553398,4033.905158740441,public,1.3409190781854,103.689244935518
928 TAMPINES ST 91,4315.974096060443,4388.933861006176,public,1.34597336332087,103.940210611577
928 YISHUN CTRL 1,4290.276422764227,4356.5203252032525,public,1.4272080784162,103.837377109933
929 HOUGANG ST 91,4166.666666666667,4319.7982031536485,public,1.37608587509748,103.881497898906
929 JURONG WEST ST 92,3773.972602739726,3854.6753088254854,public,1.34129441040099,103.689270790909
929 TAMPINES ST 91,4863.013698630137,4956.170980895222,public,1.34639172413315,103.93961398508
92A PIPIT RD,5693.069306930693,5778.02862339547,public,1.32300479810179,103.887635737659
92A TELOK BLANGAH ST 31,10336.588235294117,10054.66310160428,public,1.27653169514471,103.807514165495
92B TELOK BLANGAH ST 31,9698.924731182795,9755.877473570074,public,1.27587916988466,103.80732980539
93 BEDOK NTH AVE 4,4173.913043478261,4300.271739130435,public,1.33288899767094,103.94130973733
93 C'WEALTH DR,4895.833333333333,4800.1325797101445,public,1.30525193756004,103.800073029624
93 DAWSON RD,9875.2,9979.985323636412,public,1.2949922696335,103.8117965437
93 GEYLANG BAHRU,5514.705882352941,5587.37544237207,public,1.32218898844635,103.871612008197
93 JLN DUA,5032.258064516129,5068.655783800672,public,1.30868190843585,103.887123739313
93 PAYA LEBAR WAY,4206.896551724138,4366.314976839938,public,1.32273477524955,103.888103198161
93 WHAMPOA DR,4884.615384615385,4809.451610255311,public,1.32227606663002,103.854799917943
930 HOUGANG ST 91,4833.333333333334,4875.632464246425,public,1.37548347566834,103.881278238761
930 JURONG WEST ST 92,4200.450450450451,4200.450450450451,public,1.34100580092019,103.689898814776
930 TAMPINES ST 91,4863.013698630137,4931.119444616625,public,1.34596292007996,103.939614775098
930 YISHUN CTRL 1,5925.311475409836,5375.403250665546,public,1.42691548147226,103.837351206319
931 HOUGANG ST 91,4032.4,4112.247619047619,public,1.37554458578663,103.880604702424
931 JURONG WEST ST 92,3155.339805825243,3292.4060144852765,public,1.34162140661587,103.689734175235
931 TAMPINES ST 91,4264.705882352941,4250.464711878635,public,1.34587259826687,103.939107246321
931 YISHUN CTRL 1,4782.919090428345,4782.919090428345,public,1.4266096333815,103.837336412761
932 JURONG WEST ST 92,3401.6393442622953,3606.13980552961,public,1.34175201491732,103.68866421473
932 TAMPINES ST 91,4486.031254607105,4538.480212485799,public,1.3456002103285,103.939441311085
932 YISHUN CTRL 1,4836.538461538462,4895.327949406318,public,1.42636217632588,103.837150418219
932A HOUGANG AVE 9,6358.695652173913,6501.162881245944,public,1.37526558111202,103.881750957344
932B HOUGANG AVE 9,6630.434782608696,6546.728867738601,public,1.37512666113384,103.882234927883
933 JURONG WEST ST 91,3811.4754098360654,3669.7476473045876,public,1.34210368663101,103.689808831223
933 TAMPINES ST 91,4350.961538461539,4449.324273725559,public,1.34524172287507,103.939098694607
933A HOUGANG AVE 9,6828.195976638546,6737.1786350505545,public,1.37575796713264,103.882032792636
934 JURONG WEST ST 91,3351.9426874919327,3536.889831354624,public,1.34223794700407,103.688737677408
934 TAMPINES ST 91,4509.345794392523,4747.640773009982,public,1.34533410814811,103.940122148336
935 JURONG WEST ST 91,4625.850340136054,4382.970235765539,public,1.34267202573949,103.688333030285
935 TAMPINES ST 91,4917.475728155339,4839.75892300213,public,1.34563428737776,103.9410773896
935 YISHUN CTRL 1,4395.1612903225805,4420.190173993703,public,1.42518005921711,103.836596318713
936 HOUGANG ST 92,4341.5526351442895,4596.381899205514,public,1.37457017021599,103.879877813491
936 JURONG WEST ST 91,3650.6849315068494,3928.5779580617987,public,1.34256781310442,103.689149776097
936 TAMPINES AVE 5,4557.692307692308,4772.164897578219,public,1.3464819949059,103.941699826556
937 HOUGANG ST 92,5284.552845528456,4867.04241098031,public,1.37474486517424,103.879297111332
937 JURONG WEST ST 91,3401.360544217687,3401.360544217687,public,1.34245365802942,103.690088275691
937 TAMPINES AVE 5,4897.260273972603,5201.364328024121,public,1.34723955510922,103.941637495623
938 HOUGANG ST 92,4108.910891089109,4513.33771748407,public,1.3742877202562,103.879678550369
938 JURONG WEST ST 91,3750.0,3704.26426720133,public,1.34287698980059,103.689772560657
938 TAMPINES AVE 5,4863.013698630137,5181.838462280532,public,1.34790449944267,103.941725378469
939 HOUGANG ST 92,4436.576854406752,4555.993795281168,public,1.37395824754613,103.879695215818
939 JURONG WEST ST 91,3698.6301369863013,3813.7353624785464,public,1.34295232797122,103.689028795017
939 TAMPINES AVE 5,5377.758511979824,5325.0568607202795,public,1.34811106445663,103.941241973001
93A TELOK BLANGAH ST 31,9569.89247311828,9609.67883864797,public,1.27532809461587,103.807323119129
93B TELOK BLANGAH ST 31,9875.741935483871,9829.592195363419,public,1.27535722008159,103.807977257969
94 C'WEALTH DR,5208.333333333334,5108.518044899119,public,1.30558616281108,103.800743580931
94 GEYLANG BAHRU,5000.0,5011.137015781923,public,1.32265301195608,103.87130995354
94 HAVELOCK RD,6440.677966101695,6986.132511556241,public,1.28821320112553,103.833233526093
94 LOR 4 TOA PAYOH,3916.6666666666665,4250.0,public,1.33889442783825,103.849538318068
94 WHAMPOA DR,4516.483516483517,4593.829247675401,public,1.32197941678427,103.855754340847
940 HOUGANG ST 92,4788.732394366197,4971.774586670493,public,1.37348307053932,103.879777763575
940 JURONG WEST ST 91,3863.6363636363635,3704.639820406866,public,1.34330790784966,103.688873352514
940 TAMPINES AVE 5,5493.1506849315065,5525.239470174231,public,1.34916983775073,103.941421249043
941 HOUGANG ST 92,4399.900826446281,4732.4963046348985,public,1.37356291019462,103.879184657596
941 JURONG WEST ST 91,3668.071818891491,3612.9381995069366,public,1.34388068772887,103.688795307632
941 TAMPINES AVE 5,5191.780821917808,5481.9016599838515,public,1.34943571232065,103.94073476034
942 HOUGANG ST 92,4502.475247524752,4443.819004451195,public,1.37328587053884,103.880413624286
942 JURONG WEST ST 91,3405.4054054054054,3598.1413408098133,public,1.34372024772129,103.689377054654
942 TAMPINES AVE 5,5273.972602739726,5467.465762788041,public,1.34976895413459,103.940623987817
943 HOUGANG ST 92,4380.165289256199,4624.145674639431,public,1.37386961002325,103.880562714742
943 JURONG WEST ST 91,3306.0109289617485,3442.544014839785,public,1.343694927282,103.689789273674
943 TAMPINES AVE 5,5395.570183241416,5517.004700447392,public,1.3501781901882,103.941193548918
944 HOUGANG ST 92,4547.764227642276,4425.896797987318,public,1.37428847209427,103.880434862395
944 JURONG WEST ST 91,3809.5238095238096,3699.2493505803095,public,1.34460158675371,103.689712964527
944 TAMPINES AVE 5,5787.671232876713,5635.50007856371,public,1.35070823134696,103.940856151429
945 HOUGANG ST 92,4422.777134986226,4686.479919128276,public,1.37421925567465,103.881015089936
945 JURONG WEST ST 91,3414.6341463414633,3434.2456202916933,public,1.34423929257627,103.690130101882
945 TAMPINES AVE 4,4759.615384615385,5119.935037163322,public,1.35138260051505,103.940372866717
946 HOUGANG ST 92,4349.533333333333,4599.647737955614,public,1.37465061129558,103.881222888442
946 JURONG WEST ST 91,3123.809523809524,3370.716160711697,public,1.34420009942757,103.69045184945
946 TAMPINES AVE 4,4936.08133669609,4874.270964691046,public,1.3513838194776,103.940174421772
947 JURONG WEST ST 91,3446.969696969697,3563.33258212632,public,1.34361509877239,103.690684967957
948 JURONG WEST ST 91,3066.6666666666665,3392.926114683237,public,1.34440826739845,103.690958705202
949 JURONG WEST ST 91,3360.655737704918,3482.764762709422,public,1.34332966235335,103.69167853351
94B BEDOK NTH AVE 4,5765.734265734265,5773.047576536938,public,1.33387673357825,103.942883460977
94C BEDOK NTH AVE 4,5363.244755244756,5517.430027097339,public,1.33361429610515,103.942628254514
94D BEDOK NTH AVE 4,4807.623478883322,5151.704506328205,public,1.33362172764796,103.941297342188
94E BEDOK NTH AVE 4,4677.419354838709,4709.38151303912,public,1.33330539203383,103.940906242009
95 ALJUNIED CRES,4738.461538461538,4925.501137459032,public,1.32170329030889,103.886195689242
95 BEDOK NTH AVE 4,4347.826086956522,4337.826086956522,public,1.33386999313116,103.942056749176
95 C'WEALTH DR,4166.666666666667,4447.873435367245,public,1.30538746257876,103.801063155204
95 GEYLANG BAHRU,5661.764705882353,5652.591853284262,public,1.32300949333249,103.871104763913
95 HAVELOCK RD,7110.169491525423,7122.27602905569,public,1.28847543074122,103.832848165751
95 LOR 4 TOA PAYOH,4416.666666666666,4287.872222222222,public,1.338974038346,103.849002148998
95 OLD AIRPORT RD,5678.571428571428,5548.842767295598,public,1.30840477810117,103.887347527399
95 WHAMPOA DR,4197.186813186813,4368.6648351648355,public,1.32219217819051,103.856198528514
950 HOUGANG ST 91,4322.3140495867765,4550.281185143308,public,1.3754270067737,103.878690992649
950 JURONG WEST ST 91,3495.145631067961,3586.7348294203903,public,1.3434262949173,103.690924219836
951 HOUGANG AVE 9,4039.6039603960394,4294.2366963969125,public,1.37572957533559,103.8781874233
